United States,USD,39,N
Afghanistan,USD,39,Y
Albania,USD,49,Y
Algeria,USD,39,Y
Angola,USD,39,Y
Anguilla,USD,39,Y
Antigua and Barbuda,USD,39,Y
Argentina,USD,39,Y
Armenia,USD,49,Y
Australia,AUD,59,Y
Austria,EUR,45,Y
Azerbaijan,USD,39,Y
Bahamas,USD,39,Y
Bahrain,USD,39,Y
Barbados,USD,49,Y
Belarus,USD,49,Y
Belgium,EUR,45,Y
Belize,USD,39,Y
Benin,USD,49,Y
Bermuda,USD,39,Y
Bhutan,USD,39,Y
Bolivia,USD,39,Y
Bosnia and Herzegovina,EUR,45,Y
Botswana,USD,39,Y
Brazil,BRL,199.9,Y
British Virgin Islands,USD,39,Y
Brunei,USD,39,Y
Bulgaria,BGN,89.99,Y
Burkina Faso,USD,39,Y
Cambodia,USD,39,Y
Cameroon,USD,49,Y
Canada,CAD,49,Y
Cape Verde,USD,39,Y
Cayman Islands,USD,39,Y
Chad,USD,39,Y
Chile,CLP,39990,Y
